117,BIAR,medium_airport,Akureyri Airport,65.66000366,-18.0727005,6,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,,,,
119,BIEG,medium_airport,Egilsstaðir Airport,65.28330231,-14.40139961,76,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,,,,
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24,EU,IS,IS-8,Höfn,yes,BIHN,HFN,,,,
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,,,,
122,BIIS,medium_airport,Ísafjörður Airport,66.05809784,-23.13529968,8,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,,,,
125,BIRK,medium_airport,Reykjavik Airport,64.12999725,-21.94059944,48,EU,IS,IS-1,Reykjavik,yes,BIRK,RKV,,,,
126,BISI,medium_airport,Siglufjörður Airport,66.137847,-18.908157,10,EU,IS,IS-6,Siglufjörður,no,BISI,SIJ,,,,
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430115,-20.27890015,326,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,,,,
4614,BKPR,medium_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,,,,
333222,BR-0569,medium_airport,Glauber de Andrade Rocha Airport,-14.907885,-40.914804,2940,SA,BR,BR-BA,Vitória da Conquista,yes,SBVC,VDC,BA0005,,,
353792,BTZ,medium_airport,Betong International Airport,5.79,101.15,761,AS,TH,TH-95,Betong,no,,BTZ,,,,
34946,BY-0001,medium_airport,Orsha Airport - Balbasovo Air Base,54.439999,30.2967,620,EU,BY,BY-VI,Orsha,no,UMIO,TXC,,,,
34952,BY-0003,medium_airport,Bobrovichi Air Base,52.27830124,29.36000061,440,EU,BY,BY-HO,Kalinovichi,no,,,,,,
44363,BY-0006,medium_airport,Osovtsy Air Base,52.55699921,24.88400078,,EU,BY,BY-BR,Byaroza,no,UMMO,,,,,
42216,BZ-BGK,medium_airport,Big Creek Airport,16.519369,-88.407913,22,NA,BZ,BZ-SC,Big Creek,yes,MZBG,BGK,,,,
30861,BZ-CUK,medium_airport,Caye Caulker Airport,17.735015,-88.032862,2,NA,BZ,BZ-BZ,Caye Caulker,yes,MZCK,CUK,,,,
30867,BZ-CYC,medium_airport,Caye Chapel Airport,17.683792,-88.044985,3,NA,BZ,BZ-BZ,Caye Chapel,yes,MZCP,CYC,,,,
42209,BZ-CZH,medium_airport,Corozal Municipal Airport,18.3822,-88.411903,40,NA,BZ,BZ-CZL,Corozal,yes,MZCZ,CZH,,,,
42207,BZ-DGA,medium_airport,Dangriga Airport,16.98251,-88.230988,508,NA,BZ,BZ-SC,Dangriga,yes,MZPB,DGA,,,,
42217,BZ-PLJ,medium_airport,Placencia Airport,16.536957,-88.361511,3,NA,BZ,BZ-SC,Placencia,yes,MZPL,PLJ,PLJ,,,
35305,BZ-PND,medium_airport,Punta Gorda Airport,16.1024,-88.808296,7,NA,BZ,BZ-TOL,Punta Gorda,yes,MZPG,PND,PND,,,
42210,BZ-SJX,medium_airport,Sartaneja Airport,18.3561,-88.130798,3,NA,BZ,BZ-CZL,Sartaneja,yes,MZSJ,SJX,,,,
32370,BZ-SPR,medium_airport,John Greif II Airport,17.9139,-87.9711,4,NA,BZ,BZ-CY,San Pedro,yes,MZSP,SPR,,,,
42215,BZ-TZA,medium_airport,Sir Barry Bowen Municipal Airport,17.517239,-88.195775,8,NA,BZ,BZ-BZ,Belize City,yes,MZBE,TZA,,,,
27300,BZB,medium_airport,Bazaruto Island Airport,-21.5411,35.4729,,AF,MZ,MZ-I,Bazaruto Island,no,,BZB,,,,
320060,CA-0582,medium_airport,Bamfield Airstrip,48.8206,-125.1193,232,NA,CA,CA-BC,Bamfield,yes,,,,,,
624,CAJ4,medium_airport,Anahim Lake Airport,52.451501,-125.303776,3635,NA,CA,CA-BC,Anahim Lake,yes,CAJ4,YAA,CAJ4,,,
